event_times,event_types
"[4.48712235,6.80530047,6.96635321,7.55779344,7.67015924,8.25190712,8.49894606,8.58540475,9.35222919,11.86496024,12.21362561,13.19171423,15.50185975,16.46994002,18.19301396,18.62381179,19.64985054,23.32211384,24.5596569,28.26663619,32.4066669,33.01386061,33.45475212,36.44401713,39.17922822,39.3136677,41.1715249,42.3584745,43.27214692,43.5651156,44.12511249,50.07203675,54.14111494,54.63551292,56.71937,57.84345488,58.5183084,61.31108125,68.25300943,70.22137579,71.09446665,72.62089607,72.89185818,76.08346142,77.80811617,82.53596652,83.55958537,86.82068486,88.9456725,90.4272384,91.06414346,92.0611473,94.01884011,95.17481497,95.84305491,96.4630412,96.99755696,99.23115077,99.3303846,100.76330288,100.9459728,102.77791638,102.8874332,103.88401216]","[5,4,5,1,1,5,6,7,4,6,2,6,7,7,1,6,7,1,1,4,1,7,2,4,5,2,4,5,3,5,4,4,7,4,1,7,1,6,2,1,1,3,2,5,7,4,0,1,4,5,6,6,4,6,6,4,2,5,6,4,5,7,4,5]"
"[7.43088831,10.29520506,10.50611402,11.33899231,11.34095948,15.19553318,15.66970204,16.7113528,17.0999378,19.34501544,19.99492086,24.96141649,25.81114327,26.01575778,27.80844436,28.96170694,29.27580401,29.90846608,31.27845137,31.9918848,34.18863114,35.53129784,35.70008165,35.74208743,36.6164583,36.65324657,37.12768661,37.18309866,37.67259448,38.34904661,39.19376087,40.49024839,40.67271447,41.44129633,41.88606772,42.93674272,43.01859645,43.3343215,43.93241014,45.15185348,45.44439676,46.63490905,46.65511003,46.73956417,46.83014661,47.21485212,47.46528757,47.88231969,48.03958463,48.09822251,48.37590857,48.60433723,48.60924369,49.027192,49.09060056,49.75225929,50.10420998,50.15979551,50.24323062,50.40894301,51.32813053,52.22866918,53.00751406,54.51985626]","[0,5,4,5,4,5,6,6,4,5,7,6,3,0,1,7,0,2,4,5,4,5,5,6,4,5,5,4,4,5,1,4,5,7,4,5,6,5,5,4,4,5,5,5,4,6,6,5,4,6,4,6,6,5,6,5,6,5,6,6,6,7,1,4]"
"[3.27642623,4.73637011,5.74300257,18.43750462,19.00247944,19.0475334,19.20330528,20.36972624,21.32873184,21.8573385,22.45845301,23.12656712,23.75916845,25.81511108,26.33374325,26.72055731,30.24682399,30.82853719,30.91842476,35.9351574,36.58723819,45.56855366,45.71752491,51.77417477,55.37241918,56.22320775,60.4049895,62.04414904,62.55326971,63.37442711,64.78696244,70.74830867,79.42447137,80.75325666,81.49689017,81.6875601,83.32320734,95.31448337,96.03384673,96.14435866,96.54383613,104.91944312,105.82339487,106.54071061,106.80857771,108.01550687,108.28896351,108.49766192,109.01349289,113.51554659,113.64748113,119.83410717,123.27937609,125.93629387,128.05757411,129.43143167,130.86976535,131.25112481,133.57445632,134.03988709,135.69978491,137.64917444,139.89313691,140.37229678]","[0,7,3,5,7,6,4,2,5,3,6,2,1,3,2,3,7,4,5,7,6,6,4,7,2,1,2,6,7,2,1,1,7,7,7,1,1,5,6,2,2,5,4,6,4,0,1,1,7,7,7,6,2,2,2,0,3,3,1,4,6,2,4,5]"
"[4.33759452,4.36736276,8.27374276,8.29576667,9.69818187,10.16759206,10.97328206,11.01516388,11.22087286,11.88619812,12.4294814,12.49117367,12.59011974,12.87485485,12.97123856,13.03771115,13.11359731,13.18321923,13.21413547,13.25811829,13.41680879,13.5712708,13.64213149,13.78812322,14.03236192,14.34898245,14.46700886,14.53066847,14.55785933,15.28376571,15.54313308,15.56215216,15.81498581,16.31769505,16.67028499,16.82764423,16.85320476,17.02602344,18.04310831,18.21420234,18.69231214,18.84355804,18.99860423,19.03911213,19.2366263,19.30386797,19.40096751,19.59077842,19.66015576,19.84124406,20.0987466,20.38036383,21.22160338,30.45331338,37.2278332,39.12214919,41.20678086,41.20709043,42.08937904,43.20457632,44.6179913,44.68591691,44.75570523,46.70389827]","[0,1,5,6,4,5,5,6,4,4,5,4,6,5,6,6,5,6,7,6,3,3,0,4,4,5,7,6,7,4,5,7,7,5,6,4,5,6,1,5,6,7,4,5,2,7,5,0,7,5,6,4,6,2,4,1,4,5,7,7,1,5,4,6]"
"[3.24367774,3.37085669,3.72661236,5.11089271,5.35990814,6.02698214,8.44157674,9.87213167,10.59454008,11.92863223,13.99646362,14.09923304,14.34895924,14.90666947,15.65109396,15.91776612,17.16232912,17.91195857,18.10641684,18.490051,19.26824824,20.32045278,21.87331105,28.81320427,31.68490223,38.13337629,40.4567479,40.97853454,41.28409949,41.47610764,41.50560162,42.61514543,42.85873776,44.2385656,47.78681187,48.00247884,49.09235013,50.20226451,50.99554086,52.76243622,56.34475073,56.75889725,57.0552223,57.12901587,57.83019703,58.16942539,58.43314008,58.49524504,59.12262428,59.38861896,61.86027731,61.92918551,62.3652222,62.75970825,62.97937275,63.31697664,64.90251939,64.95833861,68.6868506,68.90784393,70.4531888,71.05093864,71.19834154,72.36805907]","[4,5,5,6,4,7,6,3,5,5,4,5,2,4,5,5,4,5,6,3,2,5,7,3,1,1,5,4,0,4,6,6,7,3,5,5,1,7,2,7,2,5,6,4,5,6,6,4,5,4,2,4,6,5,7,6,6,7,5,4,5,6,7,6]"
"[3.17649682,5.0564965,6.76543997,7.15509135,7.35567624,7.74384927,8.77969613,10.02456471,10.55136752,11.27976506,14.51599188,16.48967952,16.50732826,16.53872707,16.92532706,17.10933538,18.84520938,19.60754335,20.58428621,25.39075204,25.76939388,26.2816471,27.24113913,27.41323762,27.67360665,27.71703472,28.38324805,28.97262146,29.33265592,30.05131645,31.46431322,31.75143418,32.06320661,41.90849586,48.44216144,49.37247934,49.67078119,50.50445661,50.696804,51.50478913,51.81282845,51.96833906,52.4079227,52.46569099,52.56129361,54.22697051,54.55474606,54.91482075,55.19314957,55.22198936,56.56080577,56.63037478,57.24198014,57.40673817,57.65932674,57.8404392,58.28000766,58.41006804,58.81912983,58.96628903,59.28672808,59.53607768,59.64785154,59.76469299]","[4,5,4,5,6,0,7,6,4,5,2,6,2,7,1,7,6,1,6,7,3,5,4,6,6,0,1,5,6,4,7,2,3,0,7,3,5,2,5,4,5,6,5,6,5,4,5,5,5,5,1,6,6,4,5,4,4,4,5,6,5,5,4,4]"
"[1.24602529,1.62432274,1.9109044,2.4946601,2.75337932,5.20978747,6.995373,7.58108226,7.61682537,8.40039068,8.41345075,8.53443761,8.55789499,9.62067444,9.67934093,9.6871931,10.23687057,10.88324185,12.72045451,13.50173053,14.84948934,17.26134992,21.30973282,25.94964657,28.89445544,29.02669762,29.03108492,29.36455874,30.47064159,30.47781284,31.22546266,32.24510639,33.08854535,33.18276881,33.23713066,33.43729209,33.64746797,34.56753353,37.63908355,37.73656304,37.90741945,41.79224887,43.30126675,43.9920371,47.8274236,48.70407974,49.45750898,50.76952829,51.98166385,52.49351028,52.62261035,53.72553757,53.83460211,53.9719271,54.33785426,54.53686879,55.09618804,55.1890213,56.91043045,56.92521542,56.99988047,57.3235645,59.76826688,61.85885071]","[0,5,4,3,6,5,4,7,4,5,5,4,3,5,4,3,6,6,6,7,4,7,4,5,4,2,5,5,6,4,5,2,5,4,4,6,6,7,4,5,6,6,7,0,2,5,6,4,1,4,5,4,6,7,4,2,5,5,6,4,5,4,5,5]"
"[1.25958967,1.70882624,1.84973022,2.27528588,2.65598946,2.82372153,3.09038684,4.10862316,5.02900155,5.65041499,6.19957702,6.34586745,6.37278499,6.82767567,7.2817838,7.32074364,9.25127473,9.47857612,10.45509461,10.83818378,11.1792399,11.65572028,12.40469088,13.06381368,13.69284366,17.11962008,19.88745568,21.06717933,21.65221382,21.78835542,21.89098948,22.30513327,22.52380127,22.62275446,22.98841441,23.25240762,23.38680805,23.65489419,27.23897747,28.39695556,28.94558642,29.08755001,29.3183988,29.34653359,31.56502915,33.0899139,33.86975625,33.90703754,34.99919264,35.01917273,36.66089366,38.37693697,40.87789327,47.3519959,51.54528915,57.23387776,57.54804977,66.72936763,68.44953185,70.92651737,71.01353784,71.8037315,71.92902564,72.09854911]","[5,6,2,6,3,4,5,5,6,6,6,7,6,6,7,6,5,7,5,6,6,6,6,7,4,5,4,6,5,6,6,5,5,4,4,4,6,3,3,5,4,7,6,6,5,0,4,2,4,4,5,6,0,0,0,3,7,6,2,4,1,2,2,4]"
"[0.07675848,3.0237127,5.32617347,11.75821751,11.83511664,14.39781155,17.49881787,20.92375557,22.34611767,22.96590161,23.73762612,23.78426618,25.36370857,29.56624352,29.88230828,34.18584714,34.40682419,36.2099013,36.51321564,36.52342353,37.81054823,40.43199106,41.04329758,41.48686603,43.0202735,43.0786102,43.73612204,46.83590832,53.67329492,59.07573531,59.3328555,60.25545291,64.39063823,64.61187576,66.3378193,66.6189066,68.89778019,71.61036641,71.8085201,72.28855925,73.10250979,73.25690665,74.18863209,74.55434933,75.94656496,76.6628612,77.24381232,81.07300549,81.16456282,81.81812728,82.0034475,82.13156455,83.27449385,83.89570178,84.39138856,85.75735648,86.05651364,86.07106512,86.12942298,86.25585766,87.31506209,88.90645343,89.53077172,89.82724295]","[5,6,3,7,1,2,6,6,3,7,5,4,5,6,7,7,2,1,1,1,7,5,4,5,4,5,6,6,3,4,1,2,4,2,4,2,7,4,4,5,4,5,6,6,4,1,2,5,4,5,6,4,6,5,6,5,2,4,4,5,4,0,4,5]"
"[3.01705063,4.77488175,13.74565778,14.80844067,18.45578627,21.05546001,23.74874016,23.96339217,24.9911733,25.33721701,26.16321763,26.31851693,26.35507261,26.36778601,27.08792906,28.83793345,28.95712659,29.15112339,30.84898589,30.96772696,32.47374774,35.04509045,36.80193037,39.75225289,42.74523115,43.76263997,47.83999946,53.21830682,59.52972802,59.62227629,61.24466468,61.45736539,62.1301991,62.61068096,65.96241969,66.26131792,67.2701874,68.66863397,73.13128939,74.48552954,75.64813324,78.87623927,81.55202699,84.40035311,84.4155615,85.74072972,85.80552461,86.7377522,91.05668718,91.08940208,92.37385442,92.50488864,92.65484009,92.8602237,93.68041658,94.21333637,95.39311615,96.80413481,99.35917853,104.74434914,104.99249342,105.75837236,106.93590303,113.54204673]","[1,1,6,6,7,1,2,5,6,6,5,7,6,6,6,5,7,7,0,2,6,2,1,5,3,6,2,7,5,6,3,4,7,5,5,1,2,6,4,5,6,5,2,5,6,4,6,7,5,6,4,4,1,5,5,6,4,6,0,4,5,4,1,1]"
