event_times,event_types
"[0.43611592,5.03031732,6.54550776,8.39980096,9.43777083,10.06526598,11.36388536,11.74271177,11.83810109,12.08964081,12.68315888,14.52701683,14.80256168,14.85763068,15.48524776,15.88657356,16.12604603,20.59470122,20.81664197,22.9183298,26.99728964,27.36723501,28.00998957,28.32457513,28.50365088,28.94146446,30.3050266,30.48451453,30.8122656,30.85906111,31.12972476,32.30997371,33.17732926,35.30699248,37.42230165,38.53639668,38.68298719,39.47897942,39.78777111,40.18269487,40.29076757,40.58666691,40.62074034,40.73997476,40.77836477,40.86895321,40.9633072,41.34978976,41.7154496,41.7970656,41.98570399,42.21168045,42.28197268,42.53261289,42.71136357,43.16836732,43.28028994,43.61715897,44.24539336,44.34374633,44.41236284,44.51924503,46.19610875,46.22933762]","[6,2,5,1,5,5,1,5,1,5,5,1,5,2,1,5,5,1,7,2,2,4,0,4,0,4,4,0,0,4,4,0,4,1,5,1,0,4,1,0,3,4,5,5,4,3,4,0,0,3,4,1,0,4,5,6,0,1,0,6,1,5,1,0]"
"[3.56135542,4.62611389,5.07561493,6.34375161,6.43652592,6.68527369,6.8073802,7.06605432,7.19626,7.99214972,9.3722803,10.01386449,10.46750921,11.13644302,11.48335956,20.48659169,23.97982682,28.83593067,31.38200363,31.56777259,33.27337213,33.65851744,38.72226285,40.08678165,41.29332915,41.75763478,42.2042425,43.55531264,43.94521304,44.21968867,44.25372068,46.03463887,46.99997623,47.00306068,47.62632018,48.49527117,48.96249073,49.24018976,51.09904729,52.342116,53.04965734,53.73371787,54.10217489,54.35758892,54.53325555,56.96264142,62.37823025,64.55635924,67.20454787,67.38954415,69.19730322,76.27852133,77.14007384,79.87086444,84.36688482,86.94373874,87.1127387,89.0900627,89.68429248,90.14793845,90.2727828,90.46026096,91.17928355,91.40063785]","[0,0,4,0,0,4,4,4,1,5,4,0,0,0,4,6,4,2,1,5,1,5,5,1,0,4,5,0,0,5,4,7,1,5,2,7,1,4,5,1,5,1,5,7,7,1,4,7,6,6,7,0,4,3,0,1,5,5,5,1,4,5,1,5]"
"[5.04322134,5.38707927,5.52386532,5.64799198,6.29506195,11.04592828,11.59384193,18.29538884,20.15287447,21.27228846,21.92882751,22.18099497,22.32830634,22.54691414,23.12367062,23.27875728,24.44775577,24.45967641,24.53768228,24.68362289,26.60582864,28.14800138,28.2123477,29.0802706,29.22803486,31.30354811,33.04113144,38.30561976,38.35530555,38.45177423,38.8185379,38.99328406,39.59268896,42.80784868,44.23097325,46.73650452,46.95727983,47.18179058,47.2757577,49.68728461,51.73378706,52.13014966,52.23988337,52.39102434,53.31282633,54.0950774,54.34163022,54.76233098,56.08515836,56.28718053,56.47428973,57.03463459,57.23608647,57.46463452,59.10053058,59.21066988,60.28355357,63.69002517,69.035405,69.51653617,69.57028531,69.57689739,72.12896018,73.30155304]","[7,2,3,1,2,4,0,6,5,1,5,1,1,5,5,1,0,5,5,2,2,0,4,2,5,1,0,5,1,1,1,5,5,2,5,0,4,4,0,0,4,0,0,4,0,0,4,5,4,6,7,1,5,6,0,1,0,2,5,1,1,5,6,1]"
"[1.3985216,3.92671858,4.59247238,6.12486138,10.63459972,11.774913,12.15697399,12.31006151,13.77836472,14.88972592,40.00006263,41.75663824,41.9290872,45.7177419,47.38535652,47.42681381,48.21447671,49.03306038,49.59434163,53.27911913,53.86151353,54.25868641,54.45980904,54.48214974,54.58489831,55.05653924,55.08913658,55.37332061,55.75994708,55.91469968,56.05772449,56.16970044,56.2196569,56.53086537,56.6746161,56.77037934,57.11467337,57.2013022,57.22652269,57.23321445,57.52734875,57.53947172,58.60513758,59.09620138,59.74195462,60.69145071,62.0013826,63.99268363,67.46724107,67.55973963,68.51651808,68.55054501,69.01827634,69.40822761,72.29277981,75.18433541,76.28255251,78.05810666,81.11270681,83.18305525,87.56613203,88.26167621,91.00649233,92.93509427]","[3,1,0,2,7,5,1,6,3,2,5,7,0,4,0,4,5,1,5,4,0,4,0,4,0,0,0,4,0,0,4,4,4,4,0,3,0,0,4,0,4,5,5,5,1,5,0,5,1,4,0,4,0,2,5,0,4,4,0,4,2,7,7,1]"
"[0.39556418,0.63049834,0.67525353,0.86977512,1.19362902,1.35517767,1.88062806,1.97833755,2.12627376,2.3529779,2.58772397,2.89644399,3.11163029,3.63213219,3.88326356,4.82931174,5.11232803,6.26604544,6.47811148,6.75943779,7.86541785,7.87009698,8.30941347,8.53129642,8.55872019,9.12536693,9.14046581,9.18049955,9.73608819,9.88531337,10.14771207,11.01146668,11.91547697,12.13672907,12.50946675,12.91145439,13.09097916,13.34168752,13.72041999,13.92483857,13.97986534,14.56760587,14.78958301,14.87166042,14.9464188,14.97039156,14.97949286,16.114465,17.17401978,18.42368893,18.65829013,20.32826101,20.34289654,21.59697666,21.61097021,22.41244763,23.45593152,25.15435559,28.00492144,28.76288016,28.95376349,29.82719862,37.82596077,38.29296311]","[1,5,5,5,5,1,5,1,5,5,5,1,5,0,1,5,4,1,5,1,1,1,5,1,4,5,5,1,0,5,1,5,0,0,5,5,1,1,5,1,5,5,1,5,5,1,1,1,5,5,3,5,1,5,1,2,5,7,5,1,0,5,0,5]"
"[11.69847071,14.95704392,15.76828224,17.8592537,20.86038566,23.89149807,23.95592879,24.29893193,25.82286281,28.0357752,28.66286637,30.63865897,37.0419627,43.97036244,44.54969336,44.64806532,45.8688151,46.18834689,46.32892797,46.66763939,46.83932865,47.13285084,47.20683728,47.28911005,47.37196494,47.45842452,47.78210314,48.21838333,48.77496297,49.2104649,49.43624357,49.69167957,50.61974235,51.05516616,52.19456734,52.53468927,52.83852578,52.90343413,54.0822281,54.27509657,54.42883413,54.46256489,54.57337216,54.64849265,54.70774438,55.18406855,55.24289755,55.65147896,55.71218987,55.86967588,55.87536196,55.88706221,56.23065803,56.4597368,56.58186895,56.68553629,56.70643291,57.6156576,57.96508684,58.11371061,58.28739551,58.39590388,59.27858986,59.50980021]","[1,5,4,2,2,3,5,1,4,5,1,2,1,0,5,0,0,4,1,3,0,5,6,4,1,6,4,6,2,0,5,0,4,4,0,4,0,4,0,4,0,1,0,4,5,1,4,5,1,5,5,5,1,1,0,4,1,1,5,1,5,5,0,1]"
"[2.51015505,4.96235117,5.28079181,5.75507276,5.7985889,6.35856083,6.52319938,6.72351678,6.93694124,7.13117802,8.90710015,9.23871598,9.35245956,10.33115843,11.01643517,11.24562866,11.30530117,11.88194815,12.82501131,15.93760384,16.35934363,16.53701635,18.74038272,21.76561324,22.27585395,24.28999197,24.9483587,27.30019673,27.7821745,27.96819635,28.41197668,29.22646992,29.31201493,29.34612937,29.90176358,30.11409035,30.450609,30.45674523,30.80206196,33.20210836,33.66829559,34.64396842,35.44717356,37.72152779,38.96241891,39.69134534,39.86854427,40.59203109,40.62553501,41.45009079,43.40572104,44.48849164,44.95024342,45.74979201,45.77266976,46.23240674,46.34435196,46.47034465,46.59130874,47.22212477,47.82689577,48.10550556,48.5531837,49.11029854]","[0,4,0,0,1,5,5,1,4,1,5,6,5,1,1,1,5,0,5,1,1,5,5,0,5,1,5,5,5,1,5,0,1,1,5,1,5,1,1,3,4,4,5,1,4,0,4,5,7,1,1,5,1,1,5,5,5,5,1,5,1,7,1,4]"
"[3.5696516,8.62739669,9.02329979,9.0775157,16.65085208,18.37283088,28.20194555,31.74822644,36.43186188,39.28245271,40.28376961,43.65036705,44.32572744,46.24360258,47.06152847,47.31761139,47.77492049,48.83204666,49.79248936,50.05687466,50.81388975,51.05029177,53.27937285,59.36372219,60.40402372,61.43138981,64.99412016,68.7976222,69.17505117,69.32338995,72.25527475,77.83120648,79.32245551,81.23018675,81.6333828,81.65917009,82.35084773,82.36876363,83.12229279,83.58702337,83.94710149,84.00004736,84.6175748,86.23626277,87.39909742,87.78299786,87.96026961,88.08874541,88.14125448,88.28987799,89.63018037,90.03853954,90.32853589,90.50544753,90.54010039,90.61613718,91.68403432,92.97735872,93.05825055,95.61017328,95.7768539,98.93568099,101.32808253,102.71662997]","[0,5,1,5,2,0,4,4,7,3,4,1,5,5,1,5,1,1,5,5,7,5,5,1,5,6,7,1,5,7,1,2,6,0,4,4,0,4,4,0,4,4,0,0,4,4,0,0,1,5,0,4,0,3,0,4,4,5,4,4,0,7,7,1]"
"[2.88474168,3.3831537,5.27762128,8.83337765,12.83019792,13.00964209,13.07283614,13.07831502,13.53978267,13.87803946,14.17011515,14.28925766,14.5845131,14.68413461,15.07142511,15.45978005,15.58322068,18.94146479,18.99932489,19.74785296,20.35668839,23.62519005,32.15756705,33.08560782,33.52924353,33.97022054,35.65290372,35.6634779,36.25744412,36.68401828,37.38890353,38.34114897,38.36389492,38.39232325,38.5706018,38.88182033,39.16589052,39.3549888,39.69353582,39.69641285,39.82031686,39.96981968,39.98625011,40.18208366,40.43152555,40.87877721,42.23565219,42.79871591,43.02979809,43.13995587,43.20703622,43.51394999,43.7431562,44.00450778,44.38973328,46.32612883,46.98318668,47.51995441,47.93407956,47.94466789,48.06585483,48.10790737,48.78536526,49.18627646]","[0,6,6,3,1,5,5,5,1,5,1,5,1,5,1,5,1,1,5,5,1,7,0,0,4,7,5,1,0,4,0,4,0,4,1,4,0,5,1,4,1,5,4,0,4,0,4,5,3,4,2,0,2,4,0,0,4,4,0,0,4,4,0,4]"
"[10.85182612,11.17160536,11.68630169,12.21068254,12.21891812,12.9248617,13.47082995,13.67016977,13.76738745,13.81091875,14.04971834,14.71127152,14.73575355,14.92088407,15.17262218,15.24709333,16.81479668,20.47637473,23.35855155,30.65800095,31.9339106,40.5924267,42.26294011,43.60158039,45.09003924,45.40069572,45.53174869,47.48147996,51.36938908,59.97821476,60.31206577,62.87523012,63.31765795,65.19704946,68.08808917,68.9734619,69.52961226,70.10317708,72.31419414,72.69792042,72.91370763,73.20564424,73.3055882,73.68128926,76.62210177,76.97367323,77.57277438,77.63326143,78.01995663,81.17439148,82.51631729,83.30210032,85.10849468,86.36479437,87.54137707,90.78703719,90.95339133,92.26943983,92.57613718,93.48709202,93.51984119,94.90375746,95.95636029,97.76389534]","[1,5,5,1,1,5,1,1,5,5,5,1,5,5,1,5,5,5,1,7,5,0,7,1,5,2,6,2,1,1,1,1,5,7,3,5,0,1,4,6,1,0,0,4,0,0,2,5,1,4,7,0,4,4,4,0,4,6,6,5,4,1,6,2]"
