event_times,event_types
"[11.17854504,12.71177966,17.23869793,21.37917794,21.64454156,27.50691552,28.38382125,36.89393962,36.9755481,36.99726342,37.3780917,37.51654965,37.64596384,37.98496827,38.06949106,38.55290847,38.67231265,41.13841918,41.37280705,41.68173905,41.76736342,42.56397964,42.63484338,43.08376354,43.57378485,43.69210973,44.0143564,44.35054167,44.49436668,44.76548563,45.3203936,45.40922964,45.93554576,46.79589492,47.31439633,48.9024935,49.06501649,53.67781007,56.97347922,59.16632916,63.44736971,65.31947318,65.34201344,65.66162061,65.71297193,66.06879074,66.2493155,66.71371094,68.90109679,68.94576094,69.92038004,70.04028582,70.10250015,70.18267112,70.5444247,71.03145377,71.08616226,71.51913206,71.91018598,72.0604434,72.61418408,72.61606706,73.42551243,73.6858447]","[4,1,5,1,4,3,7,3,7,7,3,7,3,4,7,4,3,7,2,3,7,3,3,3,7,3,7,3,7,7,7,7,7,5,3,3,7,5,7,6,2,6,6,2,2,6,6,2,2,5,2,6,7,6,2,2,6,3,2,2,6,5,6,2]"
"[2.85785161,5.32939131,11.42610358,12.09616507,12.66645241,15.75412013,17.50497054,17.75898497,18.41191117,20.60576034,24.04911562,27.87555614,31.93214038,32.70091556,35.59819975,36.33460207,37.53929587,37.89147277,37.92941579,37.96065478,39.73642226,40.60642208,40.9078811,41.10167917,41.42705306,41.70794826,41.85792506,42.38108632,42.56125017,42.78276456,42.92413507,43.03484179,43.74963225,43.84042239,43.92784589,43.98372671,44.14882525,44.41214333,44.47766393,44.4831579,44.49283222,44.49324641,44.55958278,44.79759114,44.84175956,44.89739166,45.18052568,45.2201991,45.22071803,45.23320357,45.27653647,45.32487489,45.53243534,45.62849994,45.72788407,45.87785524,45.94199595,45.98929887,46.00839236,46.24883166,46.29887876,46.36584042,46.44407141,46.47836449]","[4,5,3,4,3,2,6,6,2,4,0,0,5,0,5,5,2,6,7,3,5,3,6,2,2,2,6,2,6,6,2,2,2,0,6,6,7,7,2,6,2,2,6,3,6,6,2,3,6,6,2,6,6,2,2,2,7,6,6,3,6,2,3,6]"
"[2.25104716,3.04176997,5.17745605,20.69034248,20.84374784,28.75270591,31.25637926,31.68918022,39.68741766,39.9556595,40.7147629,41.81688695,41.83256018,47.85685363,47.92860847,48.14302956,48.65404188,50.76763199,50.77697664,52.17331934,53.25582927,53.28902795,53.59870263,54.84246243,55.65751586,56.87498103,56.91003468,57.5234633,57.78589043,58.49966348,58.88886627,60.30644459,61.29922675,61.78481637,63.54173494,63.93826796,64.24806954,64.49879066,64.8241812,65.42438242,65.53452121,65.82189539,66.29191775,67.25835377,67.31372998,67.76416834,68.02874673,68.17978939,68.23491526,69.02517286,69.67537847,69.82966147,70.91933259,71.61437572,71.80313668,71.82935396,71.98121994,72.37110453,72.39331627,72.85848349,73.14182757,73.76332898,74.07826879,75.02321916]","[7,3,7,5,4,5,2,6,5,4,1,5,3,2,6,6,5,3,7,0,7,3,2,0,3,7,3,7,7,2,7,3,7,7,7,3,3,3,7,7,3,5,7,3,7,3,7,0,1,3,2,7,7,7,3,3,3,3,7,3,6,7,2,3]"
"[0.62193553,0.80151193,3.12376985,4.07608894,5.75693107,5.85247159,6.05900142,7.6935318,8.03562478,9.08581801,9.44810363,12.66069653,13.25673778,13.79930512,16.56764954,16.82970566,16.99421811,19.95641768,20.07961656,20.15829617,21.07436778,24.59744234,27.55510356,29.37233725,32.03127503,32.52594583,37.99598484,38.79189065,39.20795056,41.06686636,41.52851287,42.11779197,44.95512637,45.17084226,45.27952889,45.42714812,47.86153633,50.3218862,51.14054453,57.25663879,57.9112211,57.96228434,62.18526191,62.94631151,71.0317016,77.19888257,77.34507645,84.9629291,86.85791253,88.33605568,90.45553935,91.93723076,92.09880776,92.38177076,92.61884771,93.06614627,96.3302033,96.33450475,96.60238367,97.48410605,105.35969131,105.38002897,107.47855679,108.00393186]","[7,3,7,3,7,3,7,1,5,5,0,2,6,2,7,5,2,6,2,2,2,6,1,2,1,5,1,1,2,3,2,0,6,4,2,6,4,5,5,6,1,4,0,0,0,2,3,2,6,6,3,1,7,0,5,2,3,5,6,5,2,7,0,1]"
"[7.31422083,11.05776535,11.23649242,11.90533575,11.92504099,12.82642319,13.17996108,14.76725079,16.26750654,16.6921855,17.00409609,17.60314724,18.74321115,18.82998589,27.12993166,27.36777342,31.07407445,32.98600715,33.34372502,33.68143731,34.31179215,35.85285524,36.29511913,37.27727515,38.07166101,41.38811175,42.52365747,43.78092932,44.7283687,44.82932674,44.94468297,44.98827581,48.61785939,48.63099765,48.78687909,53.15647568,53.65483037,53.66216226,55.11424926,55.36300914,55.92575003,56.61761642,56.80562957,57.19146576,62.44639242,66.39628689,72.13488691,73.19342272,76.76795851,76.88122048,79.29878815,81.09735516,81.62938179,83.2592897,92.0989581,92.71243398,93.27215162,94.13518375,98.7958852,110.63100895,112.705638,113.00914979,113.81457781,115.59941886]","[0,7,3,7,3,7,0,5,3,7,3,2,0,7,7,3,7,3,1,5,1,0,0,3,7,7,2,3,6,3,7,3,5,0,4,2,6,7,6,2,1,6,2,1,1,2,2,6,2,6,1,2,6,7,2,6,6,4,1,2,1,2,6,6]"
"[0.41580187,4.79615869,8.30861246,17.93281402,18.10325359,18.42180943,18.53065252,19.27292171,19.29688501,19.8775204,20.06296671,20.60774402,21.46687719,21.66424833,22.89706934,23.48624215,23.75076084,26.0290478,27.02520735,29.34137818,31.39849408,32.83594763,32.87813647,34.72396373,35.38923074,36.34385514,41.5762574,43.50685978,44.6810142,46.40076701,47.73725908,48.37395373,49.68346667,51.27431877,54.51761667,55.77529474,58.28221712,58.29089898,58.96887651,59.68841578,61.12962703,68.49004924,69.09719802,71.02507682,72.41885057,72.59393433,73.2286403,73.70696926,74.46772756,74.91178806,75.08817426,76.65235204,77.04182191,81.3980271,81.43261124,81.62478246,82.83929997,82.97783495,83.20598847,83.39704772,84.40379664,84.51827856,84.58743242,84.59141731]","[0,1,1,3,1,2,3,5,7,7,6,7,7,2,3,6,3,3,7,7,3,7,4,0,1,1,0,6,0,1,7,5,5,0,6,0,2,6,2,5,5,5,2,6,6,2,2,6,2,2,0,6,7,2,3,6,6,5,7,2,6,3,2,7]"
"[2.58841877,3.39229211,3.41744573,4.11539126,7.6547977,11.87175962,13.55232323,13.85181935,19.77775694,20.20272797,20.74498067,29.61212962,30.94638987,31.22585217,31.42007414,31.55611486,32.05711774,33.63950991,34.0760346,37.7855923,37.846206,38.61255437,38.83169495,39.12536365,42.71860302,42.94522601,46.44639837,47.05612505,51.5537971,53.95359063,55.48456256,57.02691179,57.51142143,58.12341222,59.17443734,60.05923869,64.32280485,64.73557841,67.87042547,72.88953589,77.05170778,78.1401753,79.28563306,80.18870393,82.47162421,83.10785475,83.18122173,85.5429169,88.75091805,92.40650228,96.58038381,110.39071319,111.41871989,114.41606041,115.02633145,118.56341629,119.50768728,126.62607496,133.07801939,133.7427881,134.12545446,143.61472429,144.85736157,145.97980224]","[5,6,2,5,1,4,4,5,1,4,1,1,5,7,3,7,3,0,5,6,0,2,4,6,7,3,7,6,5,2,3,5,6,2,7,0,6,2,4,0,2,1,0,6,4,7,1,3,7,6,5,1,1,5,1,5,3,2,1,4,2,1,6,1]"
"[0.91985217,8.57649217,8.89472787,11.20010758,14.74729573,22.03454473,26.49380409,26.94965833,29.17336978,30.05605922,30.06795388,30.72546588,31.66614118,33.52135681,33.82908018,34.48631688,35.90226782,39.35922167,40.46425897,42.03944041,42.07648144,44.69064347,45.76307504,45.89568521,46.61722336,46.69789512,47.93711165,49.09660864,49.19861747,50.32048122,50.55240021,50.63525641,50.86998722,50.98523667,51.82317068,51.99456275,52.20944421,52.61838028,53.19001909,53.56640436,53.79868839,54.14545468,54.16211702,54.4344247,54.50222754,54.51035287,54.57116055,54.64622355,55.04316398,55.12833096,55.27656533,55.50252126,55.71253,55.74142773,56.24693972,56.26913937,56.4664599,56.60582316,56.64805659,56.68105369,56.79545135,57.60226405,57.89371622,58.96112653]","[1,6,2,6,3,0,4,3,3,7,7,3,3,3,7,3,7,7,5,3,7,3,3,7,7,5,3,2,6,6,7,7,3,2,7,3,3,3,2,6,6,7,7,0,7,3,7,7,7,3,6,7,3,7,3,3,2,4,7,6,1,3,7,3]"
"[0.65929578,4.52837734,5.23690949,8.23062031,8.49497873,8.62320352,8.68635016,8.81681168,8.90833781,9.66168641,10.36897791,13.44591644,14.10130393,16.30157887,20.54955076,20.65473377,20.70264991,21.29595452,21.57839465,22.79237251,22.94165308,24.54523805,25.59805082,25.74088935,26.16169824,26.20957973,26.39990847,26.42126901,26.76823286,27.06395591,27.26189657,28.0904508,30.45491,30.53843905,30.65923435,31.6477259,31.689156,31.9618942,35.75080847,35.99156825,37.19539348,39.25077359,42.72535842,46.53630847,47.91118133,50.34003265,50.38002193,51.30525318,51.33385308,54.02392576,59.92472196,61.54607077,63.70268421,64.42001078,68.59825334,75.61928222,77.70922642,77.83000067,80.1158637,80.25600226,81.26349842,83.40068039,84.17534164,84.90647204]","[7,5,5,3,7,1,7,3,7,3,7,7,2,6,2,6,6,2,6,6,4,6,2,6,2,6,6,2,6,2,2,6,1,2,6,2,2,6,5,6,7,5,2,6,1,3,4,5,7,5,1,3,5,7,3,5,3,7,1,3,7,3,7,3]"
"[0.40795367,6.50179462,8.98946916,11.14510695,12.95077545,13.49604829,18.50892225,20.43178626,20.99153544,22.62379208,23.33926854,24.27483794,25.0062706,26.4787788,28.0828856,28.26841711,29.23311939,29.45463345,29.85711775,30.1347201,30.7048553,30.82995526,32.44227855,33.45257507,35.2809955,36.25095942,36.97357081,40.21590753,40.73967812,41.51040494,41.88615881,44.72528155,45.70831353,47.58098617,47.59554052,48.03644525,48.62490419,49.88113785,50.06752345,50.1124947,51.12612232,52.17599551,52.27222366,52.30766901,52.67797301,52.68941803,53.10176597,53.60166255,54.23745289,54.9824132,55.48886424,59.70613217,59.83073439,60.1339729,60.40709545,61.26072809,61.97464122,63.23342325,63.71931525,64.30869936,64.39137843,65.25815822,65.9948237,66.49440794]","[6,4,3,4,7,7,4,3,1,7,3,3,7,1,1,0,7,1,7,3,7,7,0,5,3,5,4,1,0,0,5,5,7,5,7,3,1,7,3,3,7,3,3,0,7,3,7,5,4,3,7,3,7,3,3,2,3,6,2,6,0,5,4,6]"
"[0.18045841,4.95543386,5.1931222,9.26825429,9.61819118,9.85979694,10.05677094,10.37915623,10.56115418,11.39581596,11.83006222,12.07867485,13.05216869,13.11528753,13.22674704,13.35867814,13.69755095,14.50630656,15.04804886,15.31669459,15.55563436,15.73156727,17.02024592,17.91172093,18.73960999,20.06337704,20.82392125,21.22608332,21.49492556,22.39186675,22.58293131,22.5829571,22.61787354,22.70734245,23.2705722,23.46734321,28.26003697,29.45736407,32.07513993,36.41414824,37.15551916,37.37839796,40.93918038,42.58206813,43.53446576,47.48498915,52.32490435,52.57647447,54.46959459,54.71542419,54.77272833,54.96493815,55.0724201,55.08044702,55.68092011,56.28094195,56.58942879,56.97320919,57.30606632,57.56058256,57.80536826,58.28418538,58.53940098,59.31213479]","[2,6,1,3,7,7,3,3,7,3,3,7,7,3,3,2,7,4,7,3,7,7,3,2,7,3,3,7,7,3,6,7,3,6,0,2,5,7,3,7,3,3,1,6,3,7,1,1,3,7,3,3,3,7,3,7,7,3,5,7,3,3,7,7]"
"[3.39885154,8.07783193,8.96995439,9.69308394,10.61629962,11.43210546,13.3043042,13.98089687,17.72341162,18.04826939,19.60963953,20.71253724,21.06861544,21.16025381,21.24576691,23.43211427,24.44632692,33.21945636,39.78387556,43.15633497,46.1729911,48.27586972,59.01355027,62.02796902,62.21223268,63.35609442,64.91078554,67.21266457,71.45344186,71.96108954,72.20736375,72.54260356,72.76151299,73.30117643,74.07705866,74.72090582,74.87000094,75.22770415,75.35237995,76.69035562,76.98254309,77.68518031,77.70569876,77.80337718,78.74651184,78.91144635,79.51076449,79.91979866,82.1704896,83.88610063,84.05054084,85.17971102,88.35908588,89.85363898,99.54429844,100.11056405,100.6182051,101.92774263,103.01000036,105.42655388,105.77721063,108.47702236,109.81767827,110.36577483]","[1,4,2,5,6,6,3,5,5,2,4,6,1,2,6,6,2,0,1,1,0,1,1,7,5,0,4,4,3,3,3,2,7,3,7,7,7,3,3,7,6,3,2,1,1,6,3,3,4,6,7,6,5,0,2,1,1,1,4,0,5,5,4,7]"
"[1.79188768,2.61088068,3.58893995,4.65599862,6.24270106,6.43118962,6.56651359,7.52641586,8.56406291,10.35148822,18.65934766,23.14753632,27.69889721,28.17780134,29.99197208,33.37618272,34.92515698,36.26818676,37.12671865,38.33586734,39.71878419,48.75122153,49.04006465,52.84908094,53.9270333,56.77808698,73.10235134,74.58087047,75.890195,77.05093431,77.79623759,78.66269915,81.19610578,81.25697626,82.18485819,86.95428753,87.58228038,87.87401981,88.0180245,88.56897438,89.68420717,89.85167043,89.93788925,90.861499,92.08845763,93.91631784,94.61659795,95.76720552,97.19082911,97.57446602,97.83546909,101.88883619,102.27777105,103.44193268,105.73741901,107.62568256,115.053117,118.0668444,118.65900814,119.82214661,120.24194849,120.50027154,123.16323416,123.56472514]","[5,0,2,1,5,2,2,6,3,7,7,5,1,7,3,7,1,3,4,0,7,2,7,2,0,5,4,7,6,5,1,3,6,0,7,5,3,7,2,1,3,6,2,5,7,7,6,3,2,2,6,6,7,5,7,7,6,7,2,3,6,6,7,3]"
"[2.72862613,2.86644455,4.75121737,9.53806852,10.09344519,17.70299902,20.7612347,21.591837,21.88223419,21.96206116,22.33581906,22.68777533,23.71355175,23.98309447,23.98458377,24.19040725,24.22365972,24.36476583,25.2656173,25.49964102,26.2920217,26.79773095,26.89642509,27.34208236,27.7401511,28.07517533,28.09495193,28.18857891,28.28686738,28.81518035,28.97363095,29.03283332,30.16714332,30.67912843,30.93071413,31.15902652,31.459564,31.92373331,31.99898457,32.00549575,32.13727788,32.14782253,33.22873867,33.32733554,33.44568464,33.52076985,33.65181598,34.07625018,34.59682252,35.38355953,35.42862198,36.2819693,37.05547539,37.69947871,38.00856955,38.84646664,40.529412,41.97526539,44.19458367,44.33689658,45.50485149,49.76765915,49.96457525,50.21722907]","[1,3,2,6,0,2,2,3,6,7,2,6,2,7,3,6,6,6,6,3,2,0,6,2,6,2,2,6,2,6,6,2,2,2,2,6,5,2,6,2,6,6,2,6,5,2,2,6,2,6,1,2,0,6,0,6,3,2,2,6,7,3,7,7]"
"[2.39851452,2.55643922,6.37646492,11.29248047,16.03576862,18.28002312,18.62956437,19.89282348,20.28564543,20.36800929,21.54663768,22.04777492,22.37372225,22.45907546,22.6555209,22.68118053,22.8041627,23.53333265,23.6299952,23.95847423,24.13876658,30.93356113,35.42245041,37.88891324,38.75468977,47.09588467,47.39379941,47.40672319,48.27248642,48.9114414,50.14244909,50.36842798,50.5630224,53.24443884,55.1807405,55.68113113,55.86689183,57.52957327,57.5941111,58.54348254,64.46844184,64.49199255,69.11863245,69.69610084,69.8080312,70.48599236,70.59232598,70.9389347,71.44573294,71.46062601,71.49733543,71.7246878,71.73957311,71.7420314,72.01985224,72.70670222,73.20452872,74.50037628,74.95052713,75.6696316,77.2039991,77.4092246,78.14046929,78.72904097]","[2,6,1,6,6,6,2,1,4,2,2,6,6,6,2,6,6,6,6,6,2,1,3,2,3,2,5,0,5,6,2,7,5,1,4,6,7,2,6,2,3,7,7,0,3,2,6,6,2,2,6,6,1,7,5,6,6,2,3,6,6,5,2,6]"
