event_times,event_types
"[1.180458,3.79734964,4.68297739,6.37034548,7.84911524,7.92014259,8.58396231,8.82151207,9.29351722,10.7546725,11.03407753,11.09212927,17.65428454,18.21228685,19.03460756,25.60291383,27.99360946,34.84864573,38.84276293,39.04375228,39.87491999,45.22553512,46.51093368,48.75023361,50.47006536,55.15344213,55.50717985,56.75454645,57.29571141,57.3272299,57.46531081,57.65033698,57.89936259,58.02834642,58.07034756,58.13783438,59.44493117,60.23991452,60.70230863,63.13393033,63.56748544,63.75014842,63.76790416,63.82713077,63.92963972,64.25584149,65.0174258,65.70144471,65.92310184,66.03270749,66.62231165,67.15709065,68.61981597,68.7434981,68.75476936,69.59196366,82.42668784,85.12905752,85.27657394,86.24008108,88.51573246,92.51670611,92.72640905,93.72972127]","[1,7,0,1,7,2,0,1,0,5,0,3,7,2,3,7,7,5,0,6,1,7,2,7,3,2,0,1,0,1,1,0,0,0,0,1,1,6,3,2,7,3,7,2,4,7,2,2,7,2,7,1,7,3,2,2,2,1,0,0,5,4,3,0]"
"[7.74015564,8.53723956,8.88103871,12.17061248,12.5420945,12.77102263,14.82679249,16.44698929,16.8496894,17.74818263,19.13118,20.87088168,20.88572943,21.92205081,25.21206226,26.4539546,26.6679178,27.02400269,27.10956113,28.24217541,28.56558143,37.95567559,39.7593067,39.77314171,39.84388632,40.10936381,41.08975859,41.26856616,41.4940024,42.6920744,44.65374127,46.85496925,46.98544246,47.86975014,48.61950116,52.17189633,55.61804689,55.7511496,55.81091171,57.49901631,57.93176398,58.03547195,58.33466016,60.79698415,61.38834943,62.06434705,62.66799276,70.09539366,70.35934088,71.56825265,71.84837519,73.76240355,74.13522999,81.43674527,81.86203092,84.29813978,85.38594935,86.99832671,87.29110346,87.80541383,93.07344436,95.89545199,96.71702001,97.03876285]","[0,1,2,0,1,1,0,1,3,0,1,1,1,2,0,0,5,1,0,7,7,3,4,0,6,3,6,2,1,1,1,5,1,0,0,1,7,2,7,3,2,2,7,1,2,0,1,1,0,0,0,1,0,0,2,2,2,0,1,2,5,2,5,6]"
"[4.48524514,5.06547466,5.4778521,5.81858318,6.06379618,7.19861261,7.29581758,8.63481189,9.54208652,9.97679411,10.17560911,10.54734396,10.62968908,10.75393216,10.8746019,10.95701652,11.04851354,11.13122024,11.68514906,12.0989828,12.11801357,12.32156655,12.87775064,13.1119681,13.91755376,15.11126633,15.4660887,17.39699309,17.5988814,22.5054625,22.73051382,28.03658351,32.17631385,33.15207408,33.34060207,33.6879747,36.14608826,37.34946499,38.70508997,39.2690285,39.32581586,39.64565282,40.52531499,42.08695643,42.83558993,43.21835662,45.18863287,50.86231043,60.60320425,62.49707854,63.94036655,64.68887805,66.72566453,66.79439316,67.82986044,67.97649544,69.35256055,70.24978227,71.18335143,72.07932549,80.28541022,87.72285491,87.73175732,88.95844411]","[1,0,7,1,0,1,0,0,1,0,1,2,0,7,7,7,3,2,0,1,0,7,1,3,1,0,2,0,1,6,3,3,0,0,1,1,3,1,7,2,7,1,2,7,3,5,3,2,4,1,2,7,1,4,1,0,5,6,5,0,6,7,2,5]"
"[9.34986132,10.21943793,10.91795675,11.42851248,13.32945743,13.49899524,14.45641069,15.59277674,16.30287165,16.47706402,17.12160512,17.16871754,17.86489818,17.96624349,18.14255115,19.90962512,20.70864706,21.19195431,21.77938196,21.87705379,23.56617262,23.70803794,25.53298458,35.68552305,36.90964047,37.1963724,37.99459641,40.22038227,42.02447277,45.65811761,45.81736645,45.98921849,46.10794267,46.54209657,47.81925345,53.27656792,58.93660067,62.92222989,66.44556208,67.69199315,72.17045275,73.56494967,74.07742963,75.38214154,75.84858881,76.02442483,80.03237174,80.30579087,80.51965423,80.61332016,81.08930427,81.48325972,81.55654004,83.37370898,83.97006139,85.05762973,87.03005187,88.18069816,88.36710129,90.73723784,92.1416316,92.49335465,93.38020315,93.52213145]","[7,4,2,7,5,2,7,2,7,2,2,7,7,5,2,7,7,1,0,7,2,7,4,7,7,2,2,7,7,2,6,7,3,1,0,4,5,0,3,6,0,0,2,1,0,0,5,0,1,5,2,0,1,0,0,1,0,1,1,3,1,0,1,1]"
"[5.42119527,7.07922992,12.25216705,13.66149215,17.21839221,18.6653252,24.00364505,25.74886231,29.15441263,29.26097365,29.58100855,29.93843159,31.57583511,32.10967244,32.28617393,32.40457796,32.54255394,32.66705149,33.16584012,34.1042899,34.16147561,34.7243894,36.48805561,37.71651663,38.68789196,38.73857515,39.07460887,40.03513565,40.30105936,43.34444519,45.27119932,47.03686184,47.31166175,47.87181783,48.37959223,48.65285965,48.96615916,50.11609119,50.16371675,51.10486746,51.19150942,51.44104314,52.64071555,52.6723205,54.62730738,56.20585547,56.79062383,60.85854931,61.84536371,62.82870867,63.67501855,65.54498303,66.89651916,67.66536788,71.66146911,73.66859096,74.53933359,80.14088342,82.11621246,83.25503199,84.16684492,85.24096063,85.62502041,90.53446892]","[2,1,7,2,5,1,7,2,2,5,7,7,7,2,2,2,2,7,7,7,5,2,2,2,7,6,3,3,3,5,0,1,1,7,7,2,2,4,7,2,7,7,6,1,2,2,2,0,6,7,7,3,6,2,0,1,3,2,1,0,1,7,2,7]"
"[0.23251308,3.11107734,10.55523071,10.57617497,11.15139389,11.44266668,16.9609333,17.99908542,22.28061282,23.29894857,25.54569056,28.68541662,30.00892913,40.55012703,45.52563991,48.03314212,50.20036436,52.67860675,53.97785754,54.96131398,57.32301275,63.17733669,63.1908615,64.44781066,65.70071734,66.5427104,66.65817075,66.85469513,67.0638761,67.10182192,67.1754303,67.20557289,67.34940345,67.39362688,68.05850617,69.44696026,69.63519176,72.22589723,73.72384064,75.35288865,76.98731778,78.58176658,80.6911048,81.03729479,81.07261042,81.11363099,83.79534581,84.72491387,86.60927151,86.86549374,86.92780788,88.52048936,88.8338906,89.25509388,91.25525016,93.00969792,98.03685984,99.78584091,100.52653337,103.26492532,103.8861637,104.73688115,112.00308546,112.37131621]","[6,7,2,7,7,2,5,7,5,4,2,3,1,3,6,2,7,5,0,0,7,7,1,0,1,0,1,0,0,1,0,0,0,1,1,0,5,1,5,0,1,0,0,1,0,6,1,5,0,7,7,2,7,7,4,4,7,7,2,0,0,4,6,3]"
"[0.69455018,3.15772739,6.0267308,6.36975431,6.45848588,7.60110881,8.16054994,8.38563772,8.53528726,9.72527999,9.90997351,9.94298692,12.59679117,13.41194391,15.42121745,15.98602244,16.06017391,16.31229413,17.7576865,18.00906025,21.3846811,23.23274287,23.3135715,24.32457867,27.45155239,28.15769233,28.51660776,30.22603286,30.3383978,30.49302287,30.86377883,30.87557584,31.60073678,31.63385059,33.21732729,37.57621621,40.23797537,41.04203003,42.58922154,42.69250824,45.14469964,48.13146661,48.61719092,49.39169873,49.66475412,50.19343055,60.34182061,61.6124042,63.6617701,64.90055301,70.97216454,73.56009134,73.94715945,74.56323056,74.99260993,76.1958581,76.38012656,76.88737512,80.32639844,80.84535957,82.55017559,83.45052536,84.59984774,85.70400593]","[0,5,6,3,5,5,7,0,7,2,7,7,2,2,0,1,1,7,0,7,4,1,0,5,1,3,0,0,7,1,1,4,7,0,1,0,0,1,0,1,1,2,1,7,4,2,2,1,4,0,4,7,2,4,2,1,2,1,0,5,7,0,7,3]"
"[4.54634566,5.68876721,8.02817127,11.27269046,14.58947785,18.6048818,19.03797426,20.4648904,22.16768297,22.37827095,24.18886634,24.68162721,26.80571783,31.67459809,33.29512687,33.8195233,35.56533407,37.01894323,37.56156727,39.16263045,45.39039203,48.46920687,50.81635794,51.28378991,52.53243332,52.62954845,53.9214333,54.08728509,54.51486698,56.76996087,58.60842304,59.73297115,60.58666031,60.98944563,63.98684823,65.90484597,67.54749015,70.39266135,72.48087716,72.49141248,72.91936055,77.03405535,78.35258143,79.29448539,79.46888745,79.924402,84.45981729,85.66327159,87.20729665,90.02455585,92.87117029,95.93674016,97.45758332,106.05235864,106.99740091,110.7732991,111.79892488,113.23173496,114.22974393,114.93182788,115.40245766,118.10096659,118.99471161,121.98374705]","[6,4,5,7,1,6,5,2,2,0,1,3,5,2,7,2,2,0,7,2,7,4,5,2,1,1,1,0,0,2,1,3,7,0,1,4,6,7,2,7,6,2,7,6,2,4,7,6,6,0,3,1,0,0,1,4,0,1,1,5,0,5,4,4]"
"[1.48133162,1.67109808,2.91283467,3.9946168,4.18716991,5.12018296,20.38283958,20.60183604,20.672987,25.89816907,29.54639989,29.92610595,30.62248412,40.2685609,41.44296098,41.99364827,42.08230869,42.81118353,43.09267614,48.16293712,48.96219083,55.41402649,58.67405422,58.92579842,61.95812486,62.07505615,63.02013065,63.33913842,65.60455656,67.82286902,71.09740241,75.36512905,77.48003354,81.90984023,87.26120617,89.25840158,89.68234329,91.61833506,93.37678554,95.78831057,102.57696107,103.10454504,103.68433523,108.43313208,110.87078862,112.0372665,112.63837285,112.81982723,112.88418228,112.96949537,113.12451422,113.81247435,114.20359319,114.7134012,115.08332652,115.87408248,116.09611488,116.11102568,116.38015749,116.43330068,116.99668195,117.68346614,117.89342536,117.95236801]","[5,4,0,7,5,3,7,2,7,5,4,5,2,7,7,4,2,7,5,2,2,0,2,7,5,1,0,7,0,5,7,4,4,5,7,5,3,0,3,5,7,7,4,1,0,1,2,7,7,2,2,2,0,7,1,2,7,1,0,1,7,0,2,3]"
"[0.39169681,1.35875106,1.9476814,3.09758554,3.89941498,4.2376373,4.70222633,5.27331129,5.82492324,12.83731631,12.93106086,13.40869021,14.14002833,15.43185985,16.72434761,25.32810385,25.42541443,27.12567764,27.29190548,27.56726894,28.32273925,28.79164763,30.02280787,32.67707424,34.64694979,35.67447801,37.01683406,37.27790066,37.58724201,37.59181965,38.20336186,38.28727027,38.38209505,38.44748674,39.22006861,39.22778169,40.41571344,42.26910658,42.29978229,44.23379015,44.84719767,44.92638188,44.95222459,45.26918196,45.43527868,45.92382501,45.96422847,46.03651286,46.06665859,46.44808252,47.72861073,48.6964677,48.99790223,49.24816533,49.42819543,49.51005525,49.67226672,49.94856129,50.17550765,50.89912299,51.16332447,51.77793432,51.79265261,52.00759377]","[1,1,0,1,6,3,4,6,5,2,2,7,0,1,5,1,0,1,0,0,1,1,1,1,5,0,7,1,0,2,0,7,1,2,2,2,1,5,1,0,0,2,1,0,1,1,7,5,0,0,1,2,5,0,0,1,7,1,7,0,1,7,2,2]"
