event_times,event_types
"[2.15421866,6.05121683,7.89287238,7.98145297,8.94440096,10.41134705,10.90591808,11.22568363,11.31244674,11.34843983,11.42410444,11.42845673,12.93261529,13.61458968,14.67268276,14.77658779,15.2305291,15.35223267,15.42637594,15.79080611,16.07113444,16.303543,16.63622088,16.97155484,19.50051292,19.87585333,20.26959533,20.30389595,21.1322688,21.93238127,25.70152342,32.57552518,34.93843827,35.01444982,35.03550834,38.73953021,39.64129053,40.2037871,40.44612252,40.90856774,41.25825834,41.87342623,42.42468935,44.50860188,44.53390456,46.0024528,47.1632531,48.55556274,49.69732096,52.22959631,52.56921051,53.38622591,53.72927314,54.06020807,54.48465012,54.49704802,58.13767353,59.52954025,61.38927162,61.49769963,61.92411701,63.54359395,65.33298504,70.09132727]","[1,4,0,5,4,6,1,6,5,6,6,6,1,4,5,6,4,4,5,6,6,4,5,7,5,4,6,3,2,4,6,3,5,4,4,4,5,4,5,5,7,0,6,4,5,4,0,5,0,5,6,2,4,5,7,4,5,1,1,5,0,0,6,0]"
"[0.30345925,0.43682682,0.88775066,1.56026999,2.08252558,2.08311614,3.06520187,3.86923387,4.23160368,6.11955833,6.17895937,9.64487118,10.26644797,10.39329946,17.0163234,18.93444633,19.15047405,23.86506881,27.26769134,31.15301066,31.29834972,31.71153019,35.7925031,36.52330187,40.85982017,41.59255264,44.2237686,47.54935526,47.8186943,47.89490375,52.37988643,52.75005468,56.55693642,62.53469819,64.68380861,69.60115728,69.7550494,69.76722465,70.09037446,70.109945,70.38955194,70.47497752,70.68509873,71.19203007,71.71522064,71.85933087,72.37399928,73.28234434,74.47324984,75.07214422,76.95631946,78.97358211,79.30088923,79.69090492,81.92731245,82.04460131,82.29520969,82.44554392,82.47754783,82.86120475,83.22120567,83.52039177,83.94057695,83.99705239]","[4,4,5,5,4,6,5,5,6,5,1,4,5,4,7,7,0,7,7,2,5,0,7,7,1,0,3,4,5,4,4,5,2,7,6,5,5,6,6,4,5,4,6,5,7,6,3,0,7,0,3,0,0,4,5,6,4,5,6,6,4,6,6,5]"
"[2.61227891,18.57556804,19.75297462,20.00916514,20.0659246,20.10520532,20.33985898,20.49260463,20.95564913,21.00545696,24.97052041,25.26926884,29.08227395,35.39966116,37.28071945,37.73971463,40.61604585,42.92774303,44.30955042,45.32853629,45.46223456,45.69311332,45.7233591,46.50633403,46.7113197,46.81688488,47.03234181,47.0611899,47.2512734,47.3194776,47.48347957,47.67873033,48.19725128,48.50276871,48.51346146,49.28868938,49.34798687,49.600889,50.10835051,51.36063312,52.56283561,52.96230405,53.24862026,53.51402435,53.61432826,54.23753052,54.47172542,54.47311928,54.91251859,55.00758885,55.05722237,55.58160974,55.79533262,56.2815358,56.77591369,57.04713524,57.07643397,57.90434648,60.21190883,60.42746987,62.07575199,63.00283324,63.29681857,63.31682798]","[3,0,4,5,6,6,1,5,4,4,0,2,1,7,5,4,0,0,4,5,6,4,5,4,5,6,6,4,0,6,7,5,1,1,6,5,6,6,4,4,5,6,6,7,5,4,5,1,4,5,5,5,5,6,4,6,0,7,4,5,5,4,4,5]"
"[0.18877027,3.48422228,3.69113838,4.56309441,4.8731834,6.99935994,8.23492457,8.52577923,9.54554722,20.03211188,28.53065161,30.92118542,34.22921888,34.95360127,35.01216429,35.46001601,36.15214231,37.83637199,37.95338167,38.01386724,38.33653721,40.60959386,42.57523362,42.60017926,51.03967959,51.05586086,51.99131659,55.04965957,55.53922379,55.88308925,56.09253866,56.17246752,58.17419966,58.5282033,58.64997885,59.62831483,59.72054823,59.74425767,65.66367048,66.98474436,67.55043178,67.68899929,67.68992818,67.74614807,68.56130739,68.86607415,69.23537033,69.30913148,69.46737929,69.89414573,71.42406495,71.9166012,74.01953014,74.23455438,77.66232157,78.02464283,78.40824811,80.95136941,88.19066569,92.28373984,93.00921151,93.17771034,94.55962375,94.57869302]","[4,5,6,7,5,6,6,7,4,5,1,0,4,5,5,4,5,4,6,6,5,7,6,0,2,7,7,5,4,5,0,4,2,6,6,2,7,7,7,5,6,4,5,6,6,6,5,5,7,6,4,6,5,6,6,4,5,1,2,1,5,6,4,5]"
"[14.38802086,18.44142096,20.78451159,21.0599764,28.59241561,29.1365408,30.24637893,30.24846359,30.72710979,32.51204511,32.98591313,33.05233204,34.29225974,34.32727284,34.48250767,34.77567482,34.92358681,34.96146941,35.06105861,35.63331933,37.49099561,39.212422,39.82363878,39.97501346,39.98688342,40.71680416,42.43640527,42.70854446,44.45872131,45.36250781,46.44164654,48.09052873,49.43365055,50.53723964,52.67664774,53.00304958,55.48447312,60.17414204,61.31875643,62.04779907,62.73313986,66.20601877,70.20020216,71.94461614,71.99640964,72.16445422,76.735158,78.17518375,80.96602412,81.43699695,83.02571596,84.65639493,88.61622742,88.61678462,93.20905648,93.36664559,95.20230549,95.32985974,100.21710078,101.47964905,101.4936522,101.58585996,102.23343366,102.52132758]","[3,2,6,2,5,4,5,4,6,5,4,6,6,0,4,5,0,2,4,5,6,4,5,5,4,5,1,6,2,2,7,4,5,1,6,7,2,1,1,2,3,5,6,5,5,6,4,2,4,3,7,2,1,0,3,2,0,3,3,0,6,1,3,5]"
"[0.72605313,7.71757749,12.53915724,17.53146964,19.84151201,23.2246734,29.06510968,32.40916708,44.9639359,49.20988965,51.95535068,59.88592254,61.9477845,62.34739548,62.44238498,65.0286576,68.522014,69.95581631,73.87538249,76.56995549,76.97089263,77.76725454,79.273305,89.38969987,90.07998554,92.48651289,92.63536846,94.93154745,95.0520704,99.15860038,99.88773954,105.34946695,107.13504644,116.09611089,118.77722301,125.1817832,125.45042537,126.69954708,126.92799885,127.49190865,128.16550829,128.26125183,129.63676754,133.02316273,133.7642771,134.31933514,134.42422091,134.57649352,135.44248601,136.16811053,138.09212883,138.24397137,139.61310035,139.84052528,140.40875615,142.01734112,143.09146331,143.46012276,143.79475518,143.83318979,145.25553305,145.6295647,146.40859861,146.8976707]","[3,6,7,6,4,5,1,1,5,2,1,6,7,1,3,6,1,1,1,6,0,7,7,6,1,5,7,6,0,1,3,4,6,7,0,6,7,2,4,2,6,5,5,4,4,4,5,5,4,4,6,6,6,6,7,6,5,4,6,5,1,0,4,5]"
"[1.05018688,2.60462547,5.57355259,7.83299505,8.94388831,11.00133442,11.18026488,11.77482049,12.88311264,12.98289593,13.37181791,13.48379068,13.84702084,14.1779819,14.52737422,15.21604692,16.99322427,17.31006727,17.67814473,17.98273697,18.23416858,19.06720629,19.29744626,20.1676254,20.43065768,20.52174045,20.99410959,21.0853808,21.75298913,22.0334211,22.91392537,23.24279997,23.28451423,23.32409904,23.40213697,23.43023865,23.79980519,23.94140219,24.45396733,24.48395878,24.88217043,25.00373142,25.27310594,25.48706196,25.57730405,26.01349804,27.04865174,27.26534911,27.34059298,28.09802347,28.31680283,28.57934451,29.62352293,29.97002031,30.32214439,30.41947941,30.9910105,31.51091532,31.62405158,32.03233285,34.73542893,35.23340111,35.98472791,36.31973998]","[5,4,0,5,4,4,5,5,5,4,2,4,5,4,6,0,6,6,5,4,6,7,4,5,6,6,6,5,0,6,4,6,0,4,5,6,6,6,1,4,5,1,5,3,4,6,4,5,4,6,5,6,5,4,6,5,6,6,5,5,6,7,4,7]"
"[3.11513725,3.58869249,5.82324122,5.94906047,7.72048349,8.652448,9.11578118,9.21836163,10.06080387,13.93880001,14.09018477,14.40853452,14.41846452,15.28848768,15.36725035,15.8120138,16.14127328,16.76451868,17.35267256,18.46614772,19.71945284,20.44174759,21.34359984,22.4119657,22.79062191,23.31074944,23.57321084,25.11000376,26.40664911,26.86680009,32.43912513,34.98757131,35.29100565,35.69812327,36.298881,36.80438322,37.17978728,38.0742659,38.38584691,38.60804524,38.68366694,39.76395683,40.69997247,43.3062712,44.66868395,44.67225487,46.85750159,46.86638714,47.65336782,48.69317071,48.78529416,48.95775591,49.23775838,49.2842482,49.37570093,50.93761439,53.18774597,58.2032743,61.55389415,63.83626152,65.40564728,67.1475495,67.72009829,68.27531901]","[4,5,1,6,3,3,5,5,6,5,4,5,2,4,7,4,6,5,6,4,6,4,5,6,5,6,4,5,7,2,5,4,5,6,4,4,2,5,4,6,4,1,5,1,6,4,2,7,5,5,4,5,6,5,7,7,1,1,2,1,6,7,6,2]"
"[2.67948462,3.60803373,6.90864467,12.28615242,14.43185742,17.7340539,18.93578726,20.69376772,20.9544983,25.69845905,29.73917554,32.54227025,32.5904417,34.30850194,34.43562091,37.61582642,42.54267809,46.74115998,47.03974913,48.58667332,48.74860352,48.99690067,49.19160226,49.91912702,50.33847911,50.54974225,52.87612396,52.89903033,52.96234068,58.03846574,59.58528639,59.93236069,60.04039843,61.16611789,61.58055849,61.91195778,61.94189299,63.5121664,63.58055814,65.62001807,66.01916296,66.28072486,66.70686946,67.1708064,67.23195114,67.29810711,69.15963291,69.80748854,71.48758884,72.15214621,72.42708872,72.52751485,72.60985789,72.8132334,72.97072427,73.52910577,73.79440039,73.85681118,74.01069313,74.83362987,74.92302576,75.29032177,75.44907956,75.53649999]","[1,0,7,3,1,7,1,7,1,0,7,2,1,7,2,1,2,4,5,4,0,0,1,5,2,4,4,5,6,4,5,4,6,5,1,6,5,4,4,6,7,1,5,4,0,6,5,2,6,5,4,5,7,5,6,5,6,6,6,4,5,5,4,1]"
"[1.32829753,7.02666553,16.56550065,18.84707861,20.80534559,21.57914075,21.99319193,24.00103389,25.24022709,38.19452398,38.54057665,39.07972276,40.36957902,41.0063769,43.36026856,44.50047642,45.61290519,56.51999236,63.53110162,66.80489363,77.15040717,78.07727772,79.2476055,79.8107351,82.35899172,82.95491804,88.38594346,88.46781425,90.73695058,95.04840529,96.60977595,96.78665189,104.77146275,104.77486344,107.14981122,109.82292168,110.54195478,111.08840846,111.21889365,111.38738394,111.66192479,111.95919106,112.49819286,112.79550325,113.73973061,113.79731522,114.16357315,114.28902193,114.39361187,114.60306036,114.61930064,114.66175505,115.65908429,115.76272971,115.84410285,115.90405189,116.68816981,117.54741521,119.74861014,124.00359965,126.02392139,126.29778962,130.92127104,131.30271154]","[3,7,2,7,4,5,7,6,6,1,1,2,5,6,6,1,7,7,0,7,5,6,7,7,4,2,7,0,1,0,5,7,6,7,1,4,5,4,5,6,1,1,6,5,4,5,4,4,5,6,5,4,4,0,5,5,7,6,7,7,6,0,3,6]"
"[1.71192136,1.89115806,2.0403228,2.67790024,3.25194243,3.4029548,4.26150042,4.34926065,4.46431676,5.44062829,8.71509752,11.46029451,14.53134252,21.79944422,24.49006738,25.90499608,29.72954208,29.93708262,29.96187974,30.05745024,30.2006951,30.36658009,38.15558644,42.96806422,45.030351,45.31871575,46.29041731,47.71749471,51.06667914,52.14025448,52.16946178,53.89049775,55.98472791,55.99071293,58.92027027,59.45217547,59.5470873,59.80327088,60.68390896,61.68370427,64.37511736,64.64378848,65.6044935,68.26140787,70.29789578,70.52612323,70.61009768,71.14172404,71.38439676,71.448398,71.82524536,71.92197575,73.23248813,73.25938189,73.6011279,74.39737102,74.47270709,74.64328666,75.11812534,75.20737557,75.29729868,75.3741308,75.38682872,75.96197757]","[5,5,6,0,4,6,6,7,0,4,7,5,4,2,7,4,4,4,5,5,5,6,6,7,1,5,4,5,4,5,3,0,6,1,0,2,4,5,5,1,4,6,7,5,5,6,2,4,5,6,4,5,6,4,0,6,5,1,4,5,4,4,6,6]"
