event_times,event_types,cluster
"10.672831,10.719588,37.565183,40.056949,97.445883,114.440404,128.877541,128.887891,142.282796,149.415982,159.441465,168.108929,168.403095,203.220863,203.237449,203.287937,255.028947,255.059100,255.071321,255.136264,255.152037,255.159522,255.173099,257.213156,285.707661,306.197038,306.224413,306.300321,306.327803,306.327935,306.376428,306.386039,306.428614,312.837302,312.849544,312.855420,312.858474,312.902050,312.963423,313.004353,313.040955,317.785720,318.127246,335.590325,335.659065,335.665664,335.727925,335.767094,335.779018,335.784100,335.788798,335.857021,335.859094,335.864585,335.871310,335.925517,335.938191,335.955015,335.963873,335.969699,336.005664,336.016022,336.055289,336.112639,336.114756,336.157799,336.165748,336.271003,336.290736,336.291535,336.338554,336.347725,336.351226,336.390912,336.409343,336.438438,336.440657,336.455090,336.474257,336.489105","2,5,2,0,4,6,6,2,4,3,1,1,0,0,4,4,3,6,2,5,2,5,1,3,1,6,2,2,5,5,2,5,1,7,3,6,2,3,6,6,2,5,1,4,7,3,6,2,6,5,5,3,2,4,7,2,1,5,1,0,0,0,4,3,6,6,6,7,0,4,0,3,4,6,2,4,7,7,6,7",0
"6.510167,20.302047,20.325679,29.932734,30.088816,40.866379,40.880028,40.934367,40.978318,40.982386,53.632505,61.190024,73.059988,73.165821,73.171880,73.272282,73.815734,92.263935,106.428661,115.367273,119.742957,148.653886,153.377487,153.473187,155.013100,155.222688,164.803052,164.882840,164.906191,165.039510,165.387670,165.399651,184.767055,184.816370,185.223699,185.327790,185.378272,185.440758,185.488591,185.507837,185.533941,185.575721,185.584167,185.604527,185.622832,185.677187,185.693298,185.766215,186.019643,201.987432,202.011951,202.127154,205.642292,207.346858,207.466643,207.540707,236.251673,238.289528,245.467740,290.361451,295.402706,309.105776,315.997531,320.348267,323.543364,333.598570,333.630765,333.638471,333.645232,395.888750,400.171863,401.356038,412.324996,412.329593,412.353034,412.373661,412.405419,412.502479,412.508575,412.518793","1,4,7,1,0,2,5,5,1,0,7,6,1,0,5,1,1,4,0,1,5,5,2,5,1,0,0,4,7,4,7,3,6,2,5,1,0,1,0,4,4,7,7,3,6,2,6,3,6,0,4,7,0,2,5,1,1,7,3,1,6,3,1,7,7,0,4,7,4,0,7,5,0,4,7,7,3,6,3,6",0
"4.546138,4.559542,16.735808,16.736960,16.825852,36.106807,36.122282,36.188191,36.231684,41.880058,41.952844,41.960222,42.022337,42.052393,42.055122,42.065664,42.712713,42.786810,44.412704,44.530415,44.532964,44.576672,56.131629,56.233630,56.284355,61.071357,61.079997,61.100214,61.309966,61.620249,61.675215,80.844896,80.856178,80.900456,80.916672,80.957293,80.972897,81.004263,81.047073,81.048290,81.060013,81.099005,81.141041,81.161149,81.217094,81.501309,124.424034,168.863042,169.052314,174.690974,180.208164,180.227854,180.292534,197.349763,201.994205,203.552373,204.285273,204.310135,204.316161,210.723163,210.817762,222.921905,222.957118,223.010764,223.049867,228.631817,249.407589,293.165411,293.212481,293.229707,293.241034,293.259447,309.485121,331.385789,334.749380,334.762675,334.791171,334.791708,334.815458,334.819390","0,4,7,3,3,3,6,6,2,3,6,2,2,5,2,1,4,7,6,2,5,2,2,5,1,0,4,4,7,3,6,1,0,0,4,4,7,7,7,7,3,4,7,3,7,7,6,3,6,7,4,7,3,2,0,0,3,6,7,7,3,3,6,2,5,6,6,0,4,7,4,4,7,4,5,1,0,4,1,4",0
"8.438104,10.432413,10.470731,12.121579,12.125390,12.215470,12.274978,52.193947,52.313944,52.460214,52.468357,55.437771,59.695237,67.754734,67.856477,67.890080,112.828086,112.872611,114.623498,115.176053,119.444903,119.585400,119.647311,119.662239,119.671912,119.728650,132.398007,139.585881,140.538244,140.929039,141.011516,141.016651,141.036057,141.060118,141.123751,141.278184,141.294256,166.145679,175.890544,191.163769,191.185135,191.189325,191.225381,191.234795,191.255412,191.296288,194.824578,194.984070,195.045913,195.072537,202.628570,206.309084,225.333165,225.364445,226.572781,226.666923,226.668485,226.699418,236.907053,248.577686,248.895674,248.935450,248.963266,248.976491,249.056519,249.239772,257.298476,257.300737,257.316223,257.402711,257.406770,257.532583,262.407638,262.647398,262.675510,262.747631,262.833757,262.846293,262.884212,262.896667","5,0,4,6,2,2,2,4,7,3,6,2,2,2,5,1,0,4,1,7,6,6,2,2,5,5,5,4,5,7,3,6,2,2,5,2,5,7,2,4,7,7,3,7,6,3,7,3,6,6,6,0,6,2,7,3,3,6,1,4,7,7,3,3,6,2,6,2,2,5,5,5,6,2,5,1,0,4,0,7",0
"54.673677,54.830013,59.798576,79.775137,79.795470,79.830362,79.840534,79.902271,79.958499,79.981065,87.376748,87.408267,106.056422,106.297886,106.424196,106.468858,106.484229,106.487483,106.499260,106.695988,106.770468,106.782004,106.883757,107.463481,107.506346,134.964892,135.046837,144.840850,144.943438,145.084199,145.085808,145.135510,145.170862,145.180110,145.180457,145.201061,145.227756,145.229294,145.238878,145.248554,145.284959,145.294291,145.334260,145.370448,146.854190,146.895019,159.805487,160.174425,160.182841,160.184784,160.270827,164.508424,164.543798,185.380126,185.397418,185.417255,192.065426,204.730092,217.286333,217.309311,250.499409,271.798724,272.132179,272.142815,272.380696,277.559310,277.576862,277.577432,277.650219,277.673251,277.677608,277.696253,277.730767,277.763298,277.794988,277.823030,277.830557,277.830921,277.843244,277.899608","7,4,2,0,4,4,4,7,3,7,3,6,0,4,7,3,6,2,3,7,3,6,2,6,2,2,5,6,2,1,0,4,0,4,7,4,7,3,6,3,4,6,7,3,4,7,3,6,2,2,5,4,7,6,2,5,5,2,5,1,2,6,3,6,6,6,2,2,5,5,2,1,5,1,0,4,7,3,6,3",0
"0.373307,0.421883,0.471305,0.504507,0.543284,2.308411,40.417439,46.837564,48.002242,48.031131,48.038725,48.050048,48.062334,48.076619,48.163590,48.187393,52.041808,62.627055,89.386914,89.399185,89.446425,123.721204,123.730576,123.796909,132.032240,132.068414,132.215662,155.603046,155.858835,160.175009,166.037706,166.045573,166.045679,166.090654,166.103077,166.115662,166.138788,166.158019,166.249330,166.251651,166.264288,166.286000,166.308507,166.308842,166.324530,166.339064,166.357716,166.415771,166.454135,166.541447,166.562994,166.609120,166.887951,166.896632,191.207694,193.053760,193.083657,196.861144,197.007021,197.165477,197.179036,197.277247,197.289454,197.347852,199.232749,200.321658,224.217085,224.250497,253.599369,286.009722,286.164769,289.123094,307.408501,325.134085,336.519531,336.554780,336.601319,336.619205,336.635242,336.688354","1,0,4,4,7,2,7,0,7,3,6,2,3,5,2,5,3,0,7,3,6,3,6,2,0,4,4,6,5,4,5,1,1,0,4,4,1,1,0,7,0,4,7,3,4,0,7,7,4,7,4,7,7,3,1,0,4,4,7,3,6,3,6,2,6,7,7,3,6,3,6,2,2,3,7,3,6,6,6,2",0
"2.772020,2.862667,2.866512,3.149202,28.994328,42.118227,42.230668,43.128175,43.174955,43.325045,43.331791,43.473761,46.547637,47.446385,72.070721,91.524972,91.609385,112.297573,112.309328,112.431438,112.484587,139.476701,154.560268,154.576933,154.612417,160.316329,160.321882,160.374470,177.500861,177.584536,177.587837,177.655143,205.841763,205.869083,218.248511,240.174945,277.124244,286.152072,318.693154,318.817552,330.702937,330.898031,330.914060,331.099591,331.168965,339.512165,391.531030,391.603064,391.791119,391.854859,391.957495,392.403502,406.103201,423.206493,423.216480,423.261377,423.274934,423.286287,423.288736,423.393192,423.435007,440.228438,445.216206,445.345358,445.357968,453.943363,470.159255,470.745317,477.659262,518.613907,518.733817,518.759919,518.779263,518.798000,518.802003,518.803810,573.264400,573.352487,573.396656,573.410666","3,6,2,7,7,3,6,2,5,5,1,1,1,6,7,4,7,6,2,2,5,0,6,2,5,3,6,6,3,6,2,2,4,7,6,5,2,3,4,7,4,7,3,6,2,0,0,4,7,3,6,3,5,4,7,7,7,3,3,3,6,0,7,3,6,4,6,3,2,1,0,0,4,4,7,3,2,5,5,1",0
"11.161343,13.170111,18.780354,23.698516,43.081744,43.114118,56.177933,56.185419,61.364666,61.424229,68.627438,134.937509,146.328795,146.371928,162.317289,180.275533,181.075651,207.106690,207.142888,218.692036,228.063488,228.097556,248.674417,248.889923,248.904016,248.911327,248.991224,248.999926,249.123631,313.068066,313.068228,324.965470,325.007628,325.009837,389.590190,389.623891,396.218266,401.949685,401.982610,403.215013,404.206854,413.599379,419.627372,429.212546,429.236971,429.311208,438.798864,451.232763,451.431211,467.226355,474.574846,476.254094,476.259774,476.266930,476.280084,476.280906,476.336041,476.508673,481.148381,481.182614,481.291269,501.588633,501.609830,501.652278,501.771124,501.791564,501.803728,501.841772,501.982916,502.051610,502.073252,502.146780,502.208375,502.223025,502.233164,502.318031,502.320522,502.443046,502.479360,502.527817","7,6,6,0,3,6,0,4,5,1,3,0,6,2,1,5,7,4,7,4,0,4,5,1,0,4,4,0,7,4,7,3,6,6,3,6,5,7,3,0,0,5,7,0,4,4,5,5,1,3,0,4,7,3,3,7,6,6,3,6,2,4,7,7,3,6,2,5,5,5,1,1,0,1,0,4,4,0,4,7",0
"8.600384,32.809668,47.858934,64.062015,64.695643,64.714738,64.754030,64.784759,64.873005,64.999477,65.003839,65.143956,72.197998,110.405397,110.416313,110.424635,110.444128,110.464484,110.465857,110.501764,110.524190,110.600150,110.603576,110.608633,110.658876,110.693722,111.406975,128.767244,128.798300,132.178062,170.216484,170.284244,192.361089,192.396399,192.660823,192.775019,192.812112,199.433652,199.441651,199.463552,199.584646,207.020031,217.787303,217.840890,217.881882,217.893604,217.913188,217.946776,217.947812,218.040800,244.306604,244.460512,309.438298,324.305867,348.153785,348.273256,353.551652,353.594040,353.687022,353.844893,353.873701,353.976321,353.990644,368.011260,390.728352,404.433817,404.474436,404.579967,407.199415,407.928833,407.973752,408.109033,408.174425,439.792138,457.501985,457.553326,457.555034,457.624443,457.635834,457.739963","7,6,6,7,1,0,0,4,7,7,3,6,6,3,6,6,2,2,2,5,5,1,5,5,0,4,2,0,4,2,7,3,7,3,6,2,5,2,5,1,1,0,0,4,7,7,3,6,6,4,6,2,7,2,3,6,1,0,4,4,7,3,6,3,7,0,4,7,1,2,5,5,1,1,0,4,7,3,7,6",0
"4.317974,4.382522,4.387417,4.527617,4.583317,27.086861,27.196587,27.260412,37.317949,47.659260,47.709693,51.949920,86.097800,88.849627,89.298170,105.245721,131.640013,131.789214,131.799491,131.799845,131.805478,131.859588,131.885304,131.974645,132.098555,132.176720,132.276910,137.336514,149.524710,149.572860,149.748097,169.271188,169.389385,169.440962,170.896142,180.701553,205.888321,211.281856,220.438114,220.527230,271.743662,304.918045,331.413128,331.476837,349.890606,359.018530,359.054411,359.066421,359.092431,359.159652,359.207765,359.213376,359.248572,359.328884,359.339604,359.502423,379.200485,379.263523,379.282456,388.314499,388.332489,408.114425,408.423209,431.878592,459.792861,463.652106,463.655076,463.694855,463.699725,463.704984,463.730936,463.738883,463.791483,463.798248,463.798385,463.819617,463.874441,463.903807,463.915010,463.916375","3,6,2,6,2,3,6,2,1,6,2,0,6,0,0,1,3,6,2,2,5,2,1,6,2,5,1,4,7,3,6,5,1,0,7,1,2,1,0,4,6,0,2,5,0,3,6,2,6,5,1,2,5,1,5,1,1,0,0,0,4,1,0,5,6,2,5,5,1,0,4,4,4,4,7,7,0,7,7,7",0
