Epoch, Log-likelihood, Accuracy, Top-3, Macro-F1, RMSE
1,  0.00000,  0.13567,  0.41519,  0.07463,  0.00000
2,  0.00000,  0.18183,  0.46992,  0.17136,  0.00000
3,  0.00000,  0.18801,  0.48600,  0.17753,  0.00000
4,  0.00000,  0.19769,  0.49896,  0.18678,  0.00000
5,  0.00000,  0.21258,  0.52509,  0.20793,  0.00000
6,  0.00000,  0.22472,  0.56061,  0.21980,  0.00000
7,  0.00000,  0.23671,  0.58071,  0.23564,  0.00000
8,  0.00000,  0.24966,  0.60395,  0.24376,  0.00000
9,  0.00000,  0.26143,  0.62323,  0.25941,  0.00000
10,  0.00000,  0.27558,  0.64080,  0.27419,  0.00000
11,  0.00000,  0.29300,  0.64870,  0.28913,  0.00000
12,  0.00000,  0.31221,  0.66776,  0.31161,  0.00000
13,  0.00000,  0.32159,  0.67759,  0.31882,  0.00000
14,  0.00000,  0.33589,  0.69218,  0.33441,  0.00000
15,  0.00000,  0.35644,  0.70141,  0.35584,  0.00000
16,  0.00000,  0.36634,  0.71035,  0.36570,  0.00000
17,  0.00000,  0.37543,  0.71966,  0.37449,  0.00000
18,  0.00000,  0.39173,  0.72472,  0.39158,  0.00000
19,  0.00000,  0.39464,  0.72219,  0.39413,  0.00000
20,  0.00000,  0.39918,  0.72807,  0.39878,  0.00000
21,  0.00000,  0.40395,  0.72859,  0.40348,  0.00000
22,  0.00000,  0.41333,  0.72993,  0.41305,  0.00000
23,  0.00000,  0.41400,  0.72993,  0.41365,  0.00000
24,  0.00000,  0.41482,  0.73492,  0.41439,  0.00000
25,  0.00000,  0.41653,  0.73172,  0.41606,  0.00000
26,  0.00000,  0.41608,  0.73559,  0.41578,  0.00000
27,  0.00000,  0.42219,  0.73418,  0.42192,  0.00000
28,  0.00000,  0.41914,  0.73470,  0.41896,  0.00000
29,  0.00000,  0.41832,  0.73425,  0.41794,  0.00000
30,  0.00000,  0.42197,  0.73403,  0.42162,  0.00000
31,  0.00000,  0.41839,  0.73328,  0.41824,  0.00000
32,  0.00000,  0.41698,  0.73261,  0.41675,  0.00000
33,  0.00000,  0.41727,  0.73239,  0.41705,  0.00000
34,  0.00000,  0.41765,  0.73246,  0.41726,  0.00000
35,  0.00000,  0.41698,  0.72777,  0.41688,  0.00000
36,  0.00000,  0.41586,  0.72986,  0.41567,  0.00000
37,  0.00000,  0.41593,  0.72710,  0.41570,  0.00000
38,  0.00000,  0.41452,  0.72621,  0.41440,  0.00000
39,  0.00000,  0.41303,  0.72725,  0.41261,  0.00000
