Epoch, Log-likelihood, Accuracy, Top-3, Macro-F1, RMSE
1,  0.00000,  0.15101,  0.42174,  0.13053,  0.00000
2,  0.00000,  0.18466,  0.46761,  0.17507,  0.00000
3,  0.00000,  0.19821,  0.49955,  0.19051,  0.00000
4,  0.00000,  0.20722,  0.51765,  0.20233,  0.00000
5,  0.00000,  0.22137,  0.54244,  0.21569,  0.00000
6,  0.00000,  0.22874,  0.56999,  0.22529,  0.00000
7,  0.00000,  0.24393,  0.59025,  0.24103,  0.00000
8,  0.00000,  0.26143,  0.61095,  0.25950,  0.00000
9,  0.00000,  0.27923,  0.63135,  0.27628,  0.00000
10,  0.00000,  0.28675,  0.64200,  0.28497,  0.00000
11,  0.00000,  0.31035,  0.66448,  0.30866,  0.00000
12,  0.00000,  0.32822,  0.67818,  0.32687,  0.00000
13,  0.00000,  0.35354,  0.69784,  0.35328,  0.00000
14,  0.00000,  0.36173,  0.70611,  0.36139,  0.00000
15,  0.00000,  0.37863,  0.71363,  0.37857,  0.00000
16,  0.00000,  0.39069,  0.72301,  0.39071,  0.00000
17,  0.00000,  0.39933,  0.72591,  0.39901,  0.00000
18,  0.00000,  0.40864,  0.72941,  0.40850,  0.00000
19,  0.00000,  0.40410,  0.73001,  0.40361,  0.00000
20,  0.00000,  0.41817,  0.73708,  0.41795,  0.00000
21,  0.00000,  0.41876,  0.73619,  0.41883,  0.00000
22,  0.00000,  0.42554,  0.73797,  0.42490,  0.00000
23,  0.00000,  0.42025,  0.73902,  0.42022,  0.00000
24,  0.00000,  0.42167,  0.73879,  0.42119,  0.00000
25,  0.00000,  0.42777,  0.73954,  0.42755,  0.00000
26,  0.00000,  0.42889,  0.74267,  0.42879,  0.00000
27,  0.00000,  0.43098,  0.74348,  0.43073,  0.00000
28,  0.00000,  0.43254,  0.73969,  0.43242,  0.00000
29,  0.00000,  0.42964,  0.74125,  0.42950,  0.00000
30,  0.00000,  0.43120,  0.74363,  0.43111,  0.00000
31,  0.00000,  0.42681,  0.73656,  0.42674,  0.00000
32,  0.00000,  0.43008,  0.73738,  0.42994,  0.00000
33,  0.00000,  0.42792,  0.73902,  0.42778,  0.00000
34,  0.00000,  0.42822,  0.73582,  0.42834,  0.00000
35,  0.00000,  0.42547,  0.73477,  0.42519,  0.00000
36,  0.00000,  0.42666,  0.73559,  0.42663,  0.00000
37,  0.00000,  0.42800,  0.73142,  0.42806,  0.00000
38,  0.00000,  0.42472,  0.73507,  0.42445,  0.00000
39,  0.00000,  0.42457,  0.73440,  0.42457,  0.00000
40,  0.00000,  0.41973,  0.72852,  0.41983,  0.00000
