accuracy,cluster_id,events,local_time_mae,nll_per_event,source_index,variant
0.35,0,80,4.650467169284821,2.386908656870946,3,semantic_only
0.3875,0,80,5.831785202026367,3.090539149660617,4,semantic_only
0.275,1,80,7.721924296580255,3.6095318010076882,117,semantic_only
0.375,1,80,5.906404376029968,2.1387738425866702,118,semantic_only
0.3625,2,80,3.55479092001915,2.0812703215982764,200,semantic_only
0.3375,2,80,5.527718544006348,2.9443588548339905,202,semantic_only
0.175,3,80,5.461526706814766,3.1571500839665534,306,semantic_only
0.125,3,80,5.960265201330185,3.109264910314232,307,semantic_only
0.1625,4,80,7.030658251047134,3.744033958995715,401,semantic_only
0.2,4,80,5.053207921981811,2.922776989778504,404,semantic_only
0.275,5,80,4.08888995051384,2.571911540534347,515,semantic_only
0.2625,5,80,4.4266873396933075,2.1581420388072727,516,semantic_only
0.15,6,80,3.5539916157722473,2.119785288767889,609,semantic_only
0.225,6,80,3.070972168445587,1.923859676718712,610,semantic_only
0.125,7,80,8.001931977272033,3.864547346625477,702,semantic_only
0.1125,7,80,6.191237211227417,2.8542728595086375,713,semantic_only
0.3625,8,80,7.631143474578858,3.5876692811958493,802,semantic_only
0.275,8,80,4.270645708590746,2.6029316374100744,811,semantic_only
0.275,9,80,5.45716278553009,3.3793386057019235,900,semantic_only
0.275,9,80,3.5110552430152895,2.0530298380181193,909,semantic_only
0.3125,10,80,5.249117982387543,2.609886328270659,1000,semantic_only
0.3375,10,80,6.788687193393708,2.934626713953912,1004,semantic_only
0.2125,11,80,2.9352465987205507,1.6233173932880163,1104,semantic_only
0.2625,11,80,2.7316299438476563,1.5605928982142359,1105,semantic_only
0.2,12,80,6.818222072720528,3.2931197171565145,1201,semantic_only
0.2875,12,80,6.257738089561462,2.860221007280052,1202,semantic_only
0.35,0,80,4.65040397644043,2.3866994105279447,3,full_frozen
0.3875,0,80,5.83168717622757,3.090462918486446,4,full_frozen
0.275,1,80,7.722019632719457,3.6095718570053577,117,full_frozen
0.375,1,80,5.9064618110656735,2.1382017809024547,118,full_frozen
0.3625,2,80,3.5546896904706955,2.08094158093445,200,full_frozen
0.3375,2,80,5.527664852142334,2.9443407032638786,202,full_frozen
0.1625,3,80,5.461701995134353,3.156896868161857,306,full_frozen
0.125,3,80,5.960524064302445,3.1092089109588414,307,full_frozen
0.1625,4,80,7.03099159002304,3.743923535430804,401,full_frozen
0.2,4,80,5.053323304653167,2.9227190284524114,404,full_frozen
0.275,5,80,4.088721513748169,2.5717572987778112,515,full_frozen
0.2625,5,80,4.426565010100603,2.157868439517915,516,full_frozen
0.1625,6,80,3.553929924964905,2.119523599045351,609,full_frozen
0.225,6,80,3.0708802342414856,1.9235669598914682,610,full_frozen
0.1375,7,80,8.001980519294738,3.8641674055717887,702,full_frozen
0.1125,7,80,6.191652381420136,2.853916562721133,713,full_frozen
0.3625,8,80,7.631571125984192,3.5875892487354575,802,full_frozen
0.275,8,80,4.27035192027688,2.602738978806883,811,full_frozen
0.275,9,80,5.456882929801941,3.3791758492588997,900,full_frozen
0.275,9,80,3.5111167311668394,2.052330786921084,909,full_frozen
0.3125,10,80,5.248842614889145,2.609905506344512,1000,full_frozen
0.3375,10,80,6.7884119093418125,2.934529049927369,1004,full_frozen
0.2125,11,80,2.935483807325363,1.6230877270689235,1104,full_frozen
0.2625,11,80,2.7318737745285033,1.5603623826988042,1105,full_frozen
0.2,12,80,6.818360260128975,3.2928914892021566,1201,full_frozen
0.2875,12,80,6.257963693141937,2.8599993284791707,1202,full_frozen
0.35,0,80,4.65040397644043,2.3866994105279447,3,full_online
0.3875,0,80,5.831536591053009,3.090453632129356,4,full_online
0.275,1,80,7.721828254126012,3.609587011439726,117,full_online
0.375,1,80,5.906289136409759,2.138208446407225,118,full_online
0.3625,2,80,3.5546687066555025,2.0809430137276648,200,full_online
0.3375,2,80,5.527477258443833,2.944355598837137,202,full_online
0.1625,3,80,5.461690205335617,3.156916099321097,306,full_online
0.125,3,80,5.960430186986923,3.109207466896623,307,full_online
0.1625,4,80,7.0309932947158815,3.743919214233756,401,full_online
0.2,4,80,5.0532279968261715,2.922721686493605,404,full_online
0.275,5,80,4.088687688112259,2.571773303113878,515,full_online
0.2625,5,80,4.426442284137011,2.157847327971831,516,full_online
0.1625,6,80,3.5538252711296083,2.1195334704592823,609,full_online
0.225,6,80,3.070733642578125,1.9235345144290477,610,full_online
0.1375,7,80,8.001730275154113,3.8641687697730958,702,full_online
0.1125,7,80,6.191487812995911,2.8539277759962713,713,full_online
0.3625,8,80,7.631367301940918,3.587555229756981,802,full_online
0.275,8,80,4.270422699302435,2.602730228193104,811,full_online
0.275,9,80,5.456927043199539,3.3791874000802635,900,full_online
0.275,9,80,3.511081111431122,2.052322106156498,909,full_online
0.3125,10,80,5.248821955919266,2.6099027907010166,1000,full_online
0.3375,10,80,6.788450157642364,2.9345262794289737,1004,full_online
0.2125,11,80,2.9354650139808656,1.6230691775912418,1104,full_online
0.2625,11,80,2.7319101333618163,1.5603286185767502,1105,full_online
0.2,12,80,6.818389692902565,3.292886304599233,1201,full_online
0.2875,12,80,6.257934832572937,2.8599529333412645,1202,full_online
